sentence,label
선수,0
이번 경기에서 선수의 기록이 어땠어?,0
최근에 선수의 성적이 어떤가요?,0
저번 시즌에 선수가 어떤 성적을 냈나요?,0
선수의 최근 성적을 알 수 있을까요?,0
이번 경기에서 선수의 퍼포먼스가 어땠나요?,0
선수의 통계는 어떻게 되나요?,0
선수의 기록을 알려주세요.,0
선수가 최근에 어떤 성과를 거뒀나요?,0
이번 시즌 선수의 성적이 어떤가요?,0
최근에 선수의 활약은 어땠나요?,0
선수가 이번 경기에서 어떤 기록을 세웠나요?,0
선수의 전적을 알려주세요.,0
선수가 최근에 어떤 흥행을 했나요?,0
최근에 선수가 어떤 기록을 세웠나요?,0
선수가 최근에 어떤 성적을 보였나요?,0
이번 경기에서 선수의 활약은 어땠어요?,0
선수의 스탯을 알려주세요.,0
선수의 최근 기록을 알 수 있을까요?,0
선수의 최근 퍼포먼스를 알려주세요.,0
이번 시즌 선수의 퍼포먼스가 어떤가요?,0
선수의 성적을 자세히 알려주세요.,0
선수가 최근에 어떤 성적을 거뒀나요?,0
최근에 선수의 활약상태를 알려주세요.,0
선수의 최근 기록을 확인할 수 있을까요?,0
이번 경기에서 선수의 성적을 알 수 있을까요?,0
선수가 최근에 어떤 성과를 이루었나요?,0
선수의 스탯을 자세히 알고 싶어요.,0
선수의 최근 활약을 알려주세요.,0
이번 시즌 선수가 어떤 성적을 보였나요?,0
선수의 최근 경기 결과를 알려주세요.,0
선수가 최근에 어떤 활약을 했는지 궁금해요.,0
최근에 선수가 어떤 성적을 기록했나요?,0
선수의 최근 활약 상태를 알 수 있을까요?,0
이번 경기에서 선수가 어떤 기록을 세웠는지 알려주세요.,0
선수의 통계를 상세히 알고 싶어요.,0
선수가 최근에 어떤 성과를 이뤘는지 알려주세요.,0
최근에 선수가 어떤 퍼포먼스를 보였나요?,0
선수의 최근 경기 결과가 어땠나요?,0
이번 시즌 선수의 활약은 어떤가요?,0
선수가 최근에 어떤 성적을 기록했나요?,0
선수의 최근 활약을 상세히 알려주세요.,0
이번 경기에서 선수가 어떤 활약을 했는지 알 수 있을까요?,0
선수의 통계를 자세히 알려주세요.,0
선수가 최근에 어떤 퍼포먼스를 보였나요?,0
최근에 선수가 어떤 경기를 치뤘나요?,0
선수의 최근 경기 결과를 확인할 수 있을까요?,0
선수가 최근에 어떤 활약을 했는지 궁금합니다.,0
최근에 선수가 어떤 성적을 거뒀나요?,0
선수의 최근 퍼포먼스가 어떠했나요?,0
팀,1
팀의 최근 기록은 어떤가요?,1
이번 시즌 팀의 전적이 어떤가요?,1
팀의 최근 경기 결과를 알려주세요.,1
최근에 팀이 이겼나요?,1
팀의 최근 퍼포먼스가 어떤가요?,1
이번 시즌 팀은 어떤 성적을 거뒀나요?,1
팀의 최근 흐름을 설명해주세요.,1
최근에 팀이 어떤 경기를 했나요?,1
팀이 최근에 어떤 성과를 이루었나요?,1
이번 시즌 팀의 전적을 알려주세요.,1
팀의 최근 경기 결과가 어떤가요?,1
최근에 팀이 이긴 경기가 있었나요?,1
팀의 최근 퍼포먼스가 어땠나요?,1
이번 시즌 팀의 성적을 알려주세요.,1
팀의 최근 경기 결과를 알 수 있을까요?,1
최근에 팀이 어떤 경기를 치렀나요?,1
팀이 최근에 어떤 성과를 거뒀나요?,1
팀의 최근 경기 결과를 말씀해주세요.,1
팀의 최근 흐름을 알려주세요.,1
이번 시즌 팀의 성적을 말씀해주세요.,1
팀의 최근 경기 결과를 말해주실 수 있나요?,1
이번 시즌 팀의 전적을 알 수 있을까요?,1
팀의 승패 기록을 알고 싶어요.,1
팀의 최근 성적을 확인하고 싶어요.,1
팀의 승률을 알고 싶습니다.,1
팀의 최근 경기 결과를 알려주세요.,1
팀의 현재 순위를 확인하고 싶습니다.,1
팀의 최근 전적은 어떻게 되나요?,1
팀의 승부 결과를 확인하고 싶어요.,1
팀의 현재 상황을 알려주세요.,1
팀의 최근 경기 성적을 알려주세요.,1
팀의 현재 위치는 어디인가요?,1
팀의 최근 성적을 알고 싶어요.,1
팀의 승부 결과가 궁금합니다.,1
팀의 최근 경기는 어떠셨나요?,1
팀의 순위가 어떻게 되나요?,1
팀의 최근 전적을 알려주세요.,1
팀의 현재 상태를 알려주세요.,1
팀의 승패 기록을 확인하고 싶어요.,1
팀의 현재 성적을 알고 싶어요.,1
팀의 최근 경기 결과가 어땠나요?,1
팀의 현재 순위를 알려주세요.,1
팀의 승률이 어떻게 되나요?,1
팀의 최근 전적을 알고 싶습니다.,1
팀의 승부 결과를 알려주세요.,1
팀의 현재 위치를 확인하고 싶습니다.,1
팀의 최근 경기 성적을 알려주세요.,1
팀의 현재 상황이 어떤가요?,1
팀의 최근 승패 상황을 알려주세요.,1
